"자치구별(1)",자치구별(2),2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022
"자치구별(1)",자치구별(2),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"자치구별(1)",자치구별(2),소계,살인,강도,강간·강제추행,절도,폭력,소계,살인,강도,강간·강제추행,절도,폭력,소계,살인,강도,강간·강제추행,절도,폭력,소계,살인,강도,강간·강제추행,절도,폭력,소계,살인,강도,강간·강제추행,절도,폭력
"자치구별(1)",자치구별(2),발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생,발생
"합계",소계,101948,143,143,6412,39175,56075,103668,136,136,6469,42204,54723,92679,141,138,5763,38293,48344,80445,124,122,4911,33531,41757,90399,104,117,5816,37579,46783
"합계",종로구,3690,6,3,236,1483,1962,3846,4,7,238,1515,2082,3102,9,7,192,1183,1711,2712,6,4,156,1079,1467,3138,2,8,228,1313,1587
"합계",중구,4030,2,11,207,1855,1955,4327,2,6,195,2202,1922,3411,2,5,186,1642,1576,2861,6,6,161,1279,1409,3071,1,5,194,1365,1506
"합계",용산구,3411,1,3,331,1096,1980,3313,3,3,272,999,2036,2969,5,6,230,1111,1617,2381,3,1,141,945,1291,2967,5,7,280,978,1697
"합계",성동구,2457,2,5,126,999,1325,2512,6,9,133,970,1394,2362,5,3,115,1016,1223,2112,3,4,110,905,1090,2194,2,2,125,979,1086
"합계",광진구,3915,7,2,229,1769,1908,4011,4,6,273,1875,1853,3601,2,4,255,1664,1676,3087,5,4,208,1414,1456,3619,6,-,230,1670,1713
"합계",동대문구,3680,2,5,145,1447,2081,3692,6,10,168,1531,1977,3401,10,6,161,1440,1784,2959,3,7,169,1240,1540,3253,4,2,125,1556,1566
"합계",중랑구,4288,4,3,174,1526,2581,4268,10,4,138,1666,2450,3726,10,5,183,1506,2022,3210,4,6,141,1399,1660,3599,2,2,150,1508,1937
"합계",성북구,3042,7,1,183,1164,1687,2877,3,3,176,1082,1613,2567,4,3,142,988,1430,2411,4,2,118,895,1392,2749,3,1,158,1143,1444
"합계",강북구,3437,8,7,188,1112,2122,3838,6,3,176,1229,2424,2770,9,5,159,780,1817,2301,4,1,136,777,1383,2832,5,5,177,872,1773
"합계",도봉구,2249,1,5,113,781,1349,2110,1,5,90,790,1224,2179,-,2,82,861,1234,1860,2,2,72,772,1012,2141,3,-,70,969,1099
"합계",노원구,4007,5,5,194,1422,2381,4153,4,3,184,1498,2464,3743,4,3,169,1404,2163,3425,6,3,156,1361,1899,3896,3,3,180,1504,2206
"합계",은평구,3590,8,1,188,1278,2115,3880,3,1,194,1565,2117,3390,4,4,171,1371,1840,3244,4,3,166,1424,1647,3487,4,5,176,1497,1805
"합계",서대문구,2802,5,3,206,1062,1526,2943,2,5,175,1226,1535,2533,3,2,159,1077,1292,2278,3,2,137,1027,1109,2374,5,6,157,1114,1092
"합계",마포구,5172,6,6,473,2011,2676,4842,2,2,495,2190,2153,3688,9,4,348,1483,1844,3540,4,4,321,1510,1701,4096,2,2,436,1451,2205
"합계",양천구,3515,2,4,120,1384,2005,3214,6,2,127,1477,1602,3216,5,3,109,1517,1582,3015,1,3,116,1349,1546,3169,2,3,114,1474,1576
"합계",강서구,4629,11,6,269,1724,2619,4924,8,3,306,2050,2557,4415,10,6,265,1689,2445,3896,9,3,246,1540,2098,4663,3,7,261,1991,2401
"합계",구로구,4810,8,9,250,1717,2826,4707,10,3,226,1916,2552,4175,6,5,197,1763,2204,3486,5,2,182,1390,1907,3857,11,8,217,1565,2056
"합계",금천구,3293,6,7,200,1168,1912,3105,6,10,153,1157,1779,2598,4,7,117,999,1471,2439,7,3,134,1013,1282,2577,2,3,127,1118,1327
"합계",영등포구,5840,17,8,391,2292,3132,5820,10,3,356,2409,3042,5217,7,6,315,2188,2701,4179,8,11,279,1712,2169,4819,5,10,327,2062,2415
"합계",동작구,3100,3,7,288,1151,1651,3400,4,1,251,1328,1816,3200,1,1,226,1341,1631,2631,2,1,180,1129,1319,2735,2,5,212,1195,1321
"합계",관악구,5026,9,10,352,2012,2643,5328,13,10,408,2223,2674,5261,12,3,403,2229,2614,4444,8,7,321,1860,2248,4879,10,9,327,1966,2567
"합계",서초구,4726,5,5,470,1851,2395,5542,5,7,616,2270,2644,4601,5,6,396,2021,2173,3656,9,5,312,1503,1827,4459,3,3,431,1921,2101
"합계",강남구,7513,10,14,600,3004,3885,7304,5,5,666,2970,3658,7356,6,14,708,2951,3677,6146,12,25,578,2372,3159,6947,12,11,667,2495,3762
"합계",송파구,5807,5,6,309,2352,3135,5698,7,10,273,2416,2992,5410,6,13,287,2429,2675,4714,3,7,247,2024,2433,5167,2,5,290,2201,2669
"합계",강동구,3919,3,7,170,1515,2224,4014,6,15,180,1650,2163,3788,3,15,188,1640,1942,3458,3,6,124,1612,1713,3711,5,5,157,1672,1872
