,구분,2015년,2016년,2017년,2018년,2019년,2020년,2021년,2022년,2023년
1,종로구,935 ,1066 ,1225 ,1322 ,1327 ,1510 ,1573 ,1812 ,1808 
2,중구,363 ,565 ,838 ,1174 ,1242 ,1482 ,1911 ,2026 ,2026 
3,용산구,1398 ,1689 ,1831 ,1888 ,1915 ,2058 ,2321 ,2531 ,2647 
4,성동구,1089 ,1328 ,2103 ,2390 ,2833 ,3162 ,3519 ,3627 ,3643 
5,광진구,638 ,657 ,1112 ,1586 ,2308 ,2481 ,3111 ,3370 ,3359 
6,동대문구,1202 ,1425 ,1535 ,1775 ,2061 ,2166 ,2471 ,2592 ,2592 
7,중랑구,751 ,898 ,1047 ,1203 ,2250 ,3165 ,3592 ,3856 ,3856 
8,성북구,1035 ,1534 ,1940 ,2542 ,3238 ,3440 ,3815 ,4014 ,4129 
9,강북구,608 ,840 ,841 ,1159 ,1656 ,2337 ,2960 ,3184 ,3184 
10,도봉구,345 ,443 ,542 ,679 ,835 ,1189 ,1684 ,1994 ,2120 
11,노원구,956 ,1268 ,1433 ,1577 ,1763 ,2034 ,2171 ,2284 ,2281 
12,은평구,1719 ,2075 ,2310 ,2669 ,3141 ,3431 ,3822 ,4103 ,4103 
13,서대문구,952 ,1179 ,1525 ,1764 ,2100 ,2499 ,2591 ,2928 ,3006 
14,마포구,623 ,970 ,1328 ,1703 ,2011 ,2268 ,2372 ,2500 ,2500 
15,양천구,1898 ,2026 ,2367 ,2655 ,2928 ,3136 ,3393 ,3627 ,3609 
16,강서구,801 ,960 ,1164 ,1386 ,1858 ,2346 ,2637 ,3151 ,3209 
17,구로구,1407 ,1719 ,2231 ,2819 ,3074 ,3455 ,3842 ,4013 ,4122 
18,금천구,990 ,1090 ,1181 ,1563 ,1894 ,2247 ,2276 ,2498 ,2730 
19,영등포구,904 ,1140 ,1429 ,2055 ,2093 ,3250 ,3508 ,3896 ,3964 
20,동작구,961 ,1200 ,1471 ,1690 ,1904 ,2155 ,2181 ,2404 ,2402 
21,관악구,1496 ,2048 ,2611 ,3247 ,3388 ,3652 ,3833 ,4029 ,4245 
22,서초구,1548 ,1785 ,2169 ,2582 ,2938 ,3175 ,3442 ,3180 ,3180 
23,강남구,2319 ,3447 ,4232 ,4834 ,5459 ,5796 ,6143 ,6495 ,6495 
24,송파구,713 ,798 ,913 ,1364 ,2052 ,2372 ,2520 ,2805 ,2821 
25,강동구,670 ,863 ,1134 ,1596 ,1871 ,2475 ,2720 ,3086 ,3088 
